tx_hash,block,timestamp,tx_from,native_value_eth,input_token_class,tokens_sent_by_eoa,tokens_recv_by_eoa,v4_hops,n_v4_hops,suspect_legs,suspect_usdg_in,suspect_fire_out,swap_sender
0x32a82de7044d8291c285b99e8916182854087d625eae549d6611a5880500f06a,20070357,2026-07-26T18:01:54+00:00,0xeeef618a70e663813331892ee129709845570a1f,0,none_from_eoa,,,WETH/USDG@200 -> ETH/FIRE@3000 -> FIRE/USDG@500000,3,1,10.857514,23711.95897608764,0xa633c73658857d5241fe21d43f854a82e2d0592c
0x64fa0aa1c397a6b32f8bdff2c53a9bb079e8ce156b5418351aa19d9b8c41e791,20098837,2026-07-26T18:49:27+00:00,0x433702948d7be4201a2bcee6c349ad807c547a5d,0,none_from_eoa,,,FIRE/USDG@400000,1,1,2.401443,5201.5531441582625,0x8f10b468b06c6fd214b65f87778827f7d113f996
0x159c64034d5948d14b90f97676149c33a011450b07ee183bb126ea07076eb581,20144334,2026-07-26T20:05:24+00:00,0xeeef618a70e663813331892ee129709845570a1f,0,none_from_eoa,,,ETH/FIRE@3000 -> FIRE/USDG@500000,2,1,10.443262,24914.90385964636,0xa633c73658857d5241fe21d43f854a82e2d0592c
0x50cfbe113e3513708e67281c4deb85eb8e812cb71adab1de79c9c84bd9d67076,20144775,2026-07-26T20:06:09+00:00,0xfce11108e69699329c11e0882af3570a9825ad1d,0,none_from_eoa,,,ETH/FIRE@3000 -> FIRE/USDG@400000 -> ETH/USDG@100,3,1,2.015483,4769.9245144905935,0x7702e2e6b53114a037c45a89f855b52721a1c755
0x61765728c828a35c2745888d4f902b426a0fc9bc6cbb7a5b2f1402c53b34e319,20146865,2026-07-26T20:09:37+00:00,0x81a514664f5330b7b9f131691c67a1895a2f4bc6,0,none_from_eoa,,USDG:0.082936,ETH/USDG@460 -> ETH/FIRE@3000 -> FIRE/USDG@500000,3,1,4.366887,11100.578178142174,0x4dbfd2ea0fa92f7f4e695078abb905395a24c113
0x7e9eca7202bd22a619e43374079762d3725518751b8b6b337966c5628cb621d1,20148080,2026-07-26T20:11:40+00:00,0xeeef618a70e663813331892ee129709845570a1f,0,none_from_eoa,,,ETH/FIRE@3000 -> FIRE/USDG@500000,2,1,11.760721,32144.708489786455,0xa633c73658857d5241fe21d43f854a82e2d0592c
0xd932ac75d98c17d4657d10968a80e5ad91f6a42c3ff29bcbc118e19b21585bfe,20148081,2026-07-26T20:11:40+00:00,0xb18192f07549bd799d4ac5ca8f93aaa722454118,0,none_from_eoa,,,FIRE/USDG@400000 -> ETH/FIRE@3000,2,1,3.140493,8292.703232242722,0x66553d3b26eef6021b5de73c1dd0ce3067d7da79
0x0e8761a434d77192d252711ea37f5bf9036540543cc62b7b302ac27cb97c98bc,20240624,2026-07-26T22:46:18+00:00,0x4337007ab182ebe9cdb0bc4b96734c32176d44cc,0,none_from_eoa,,,FIRE/USDG@400000,1,1,2.296555,6844.6432008003,0x8f10b468b06c6fd214b65f87778827f7d113f996
0x0be0c91ceeda08475fd42d59888d493ffb781ec44de77cfb71a82e00081f2286,20354494,2026-07-27T01:56:41+00:00,0xb4864f7f85eb2fdbd58b4293a2b9bd684fb13336,0,none_from_eoa,,,ETH/FIRE@3000 -> FIRE/USDG@400000 -> WETH/USDG@200,3,1,98.461223,67127.14040824848,0xa633c73658857d5241fe21d43f854a82e2d0592c
0xc9ad3062f9b616ef1b1d1f668fed160c1fed586ca38e50519434bf327a927489,20354494,2026-07-27T01:56:41+00:00,0xb4864f7f85eb2fdbd58b4293a2b9bd684fb13336,0,none_from_eoa,,,ETH/FIRE@3000 -> FIRE/USDG@500000 -> WETH/USDG@200,3,1,307.98461,242789.71593961597,0xa633c73658857d5241fe21d43f854a82e2d0592c
0x06a96fea1c1aad20fa91232e5c83485a739e6059448bb34c8380734375db8fb9,20354496,2026-07-27T01:56:41+00:00,0x8c8ad14cbebc65c6af15c484098c501f08ecb611,0,none_from_eoa,,,ETH/FIRE@3000 -> FIRE/USDG@500000 -> WETH/USDG@450,3,1,12.473195,21687.851687645212,0x000000000022b747bc1057d9497efe6d1c69296f
0xa7572b706ba4e0e23fe3fcb2dcb278da6ce2d46142f80cd381aa1990da44b9bd,20365401,2026-07-27T02:14:55+00:00,0x1983824aa3cf023dfd233115e801520b9d49a258,0,FIRE,FIRE:6041.599301933559037967,USDG:3.268741,FIRE/USDG@500000,1,1,3.285166,6041.599301933559,0xa687b664662b96b180346d699a6d5b42e9b05d31
0x8833948f0f6bc8398085162f19834336a3dc0abdca62c38ba0270525dba04c61,20378248,2026-07-27T02:36:24+00:00,0xeeef618a70e663813331892ee129709845570a1f,0,none_from_eoa,,,ETH/FIRE@3000 -> FIRE/USDG@500000 -> WETH/USDG@200,3,1,8.830009,16871.59343130513,0xa633c73658857d5241fe21d43f854a82e2d0592c
0x88de39808ac0335c509d0a853382fef16634d9d4d5d185b468ecb158982d60a8,20382514,2026-07-27T02:43:33+00:00,0x4337012eaf1f862b8dbdc6b62a01782ae01ef038,0,none_from_eoa,,,FIRE/USDG@400000,1,1,5.938436,11832.3889739029,0x1d4b86491ec211257cbedd77a4380a7494624eff
0x0300e25418ec3059428f74fb8cf1e8853b2fbb6f565d8041f85572e9e49fd3b8,20389139,2026-07-27T02:54:38+00:00,0x4337017d2e3f5e4160a27f6fdbdc38719343c62f,0,none_from_eoa,,,PONS/USDG@3000 -> FIRE/USDG@500000,2,1,9.175924,18519.33037487038,0x1d4b86491ec211257cbedd77a4380a7494624eff
0x717b53794bff024222a3df8e55a6be6e967e6f66b4a6139a7ad4978d78854e5b,20570751,2026-07-27T07:58:29+00:00,0xeeef618a70e663813331892ee129709845570a1f,0,none_from_eoa,,,ETH/FIRE@3000 -> FIRE/USDG@500000,2,1,12.700519,27319.31280177425,0xa633c73658857d5241fe21d43f854a82e2d0592c
0x5717d76e8646d3e2983d565210ccc95b5cb61ae0d81c82a84d5b0eb8b175ea65,20754676,2026-07-27T13:06:16+00:00,0x43370330be39d388f6219d8241dc1f76fb9df268,0,none_from_eoa,,,FIRE/USDG@500000,1,1,2.084315,4679.502885037473,0xaa61254627b7392b0bc922097b10eb0587db2be7
0x21a046825df41f82a72ba52a52a2be46f7a609f56f8bad6d11fc9a7b41683aa8,20761649,2026-07-27T13:17:55+00:00,0x2f878417db3b6a61388bb620ff4f8be745cae66e,0,none_from_eoa,,,ETH/FIRE@3000 -> FIRE/USDG@500000 -> TA/USDG@39950,3,1,6.620461,15233.80988802789,0x000000000022b747bc1057d9497efe6d1c69296f
0xdfef287a4a46121ca8bce8e9dc1052af434cced44422621119ed86088c727c21,20784022,2026-07-27T13:55:17+00:00,0x4337002c5702ce424cb62a56ca038e31e1d4a93d,0,none_from_eoa,,,FIRE/USDG@400000,1,1,3.951908,9346.3422642319,0xaa61254627b7392b0bc922097b10eb0587db2be7
0xe45e9e6555225d6c299a1df3203c1249435eab2d5c5bba926cbbac17e06ccb8d,21644109,2026-07-28T13:55:37+00:00,0xeeef618a70e663813331892ee129709845570a1f,0,none_from_eoa,,,ETH/FIRE@3000 -> FIRE/USDG@500000 -> WETH/USDG@200,3,1,8.004376,19333.428118562624,0xa633c73658857d5241fe21d43f854a82e2d0592c
0x439a8d1caadc97c6755558c5a9956af17cce236c337859eae0ac2cf8a28de245,21877909,2026-07-28T20:26:19+00:00,0xeeef618a70e663813331892ee129709845570a1f,0,none_from_eoa,,,ETH/FIRE@3000 -> FIRE/USDG@500000,2,1,10.056027,25946.91219435009,0xa633c73658857d5241fe21d43f854a82e2d0592c
0x7ff8e745d14ac0f798fe449114c5cd5dd58790df090b415c407e6218f7b0d407,21879972,2026-07-28T20:29:47+00:00,0x4337013ef5cd421cef649fc58c1b0defd37bbeb1,0,none_from_eoa,,,FIRE/USDG@400000 -> FIRE/USDG@450000 -> FIRE/USDG@500000,3,2,14.992851,41355.031443767790,0x39b38686a19836ac10162c490e4558e120cbbe5f
0x958497332bd5c1f528a51f1bf7c5c6ea7ac4cd655eba8469bf337a722e3582c2,21923483,2026-07-28T21:42:28+00:00,0x81a514664f5330b7b9f131691c67a1895a2f4bc6,0,none_from_eoa,,USDG:0.041097,ETH/USDG@500 -> ETH/FIRE@3000 -> FIRE/USDG@500000,3,1,3.374431,9859.092733147161,0x4dbfd2ea0fa92f7f4e695078abb905395a24c113
0x82e9fb85e0fe84038419385fb8efea6eab1d9ede1c43d35bc5e1651ae5eb7307,21924200,2026-07-28T21:43:39+00:00,0xeeef618a70e663813331892ee129709845570a1f,0,none_from_eoa,,,ETH/FIRE@3000 -> FIRE/USDG@500000 -> USDG/VIRTUAL@3000,3,1,13.883078,43506.55694761105,0xa633c73658857d5241fe21d43f854a82e2d0592c
0x119275105e06f56f32d36ae29651b8b96a1eac1744bcd82f913e2318dbf88ae9,21924200,2026-07-28T21:43:39+00:00,0x7081e9256628cd654034195ecffca45993970625,0,none_from_eoa,,,FIRE/USDG@400000 -> ETH/FIRE@3000,2,1,5.14795,15764.02349288489,0x66553d3b26eef6021b5de73c1dd0ce3067d7da79
