tx_hash,timestamp,block,route_shape,n_v4_hops,suspect_pool_50_touched,suspect_pool_40_touched,canonical_pool_touched,classification,cycle_asset,cycle_input,cycle_output,gross_profit,gross_profit_pct,gas_payer,gas_cost_eth,net_profit_after_gas_if_attributable,profit_recipient,profit_recipient_confidence,all_residual_tokens,accounting_balanced,trace_ok,weth_wrap_events,swap_sender,tx_from,protocol_fee_active
0xc8fcad2e39a6de9447fe52482c5313b47e37cd545a2f909cc4d43ca0de6fe4a5,2026-07-24T18:13:51+00:00,18355673,ETH/USDG@500 -> ETH/FIRE@3000 -> FIRE/USDG@500000,3,True,False,True,MULTI_ASSET_UNRESOLVED,,0.000000000000000000,0.000000000000000000,0.000000000000000000,,0x81a514664f5330b7b9f131691c67a1895a2f4bc6,0.000028579294840000,,,low,ETH:+0.0000381400|USDG:+0.2513200000,False,True,False,0x4dbfd2ea0fa92f7f4e695078abb905395a24c113,0x81a514664f5330b7b9f131691c67a1895a2f4bc6,no
0x1347148cb39ca5001db1b7be88e91c25134e8bf2fa4920fdfd6b6ff450fe58ee,2026-07-24T18:24:41+00:00,18362149,FIRE/USDG@500000,1,True,False,False,ONE_WAY_ROUTE,FIRE->USDG,6169.696621947221570347,3.792264000000000000,0.000000000000000000,0.000000,0x4337026d731283f9917fa3c9194d74809bfbec26,0.000087547081928000,,,low,FIRE:-6169.6966219472|USDG:+3.7922640000,False,True,False,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x4337026d731283f9917fa3c9194d74809bfbec26,no
0x6fc8243a1777bbc97c0c443d6a6f4e8e03f631aadaf83cade8f566516b876729,2026-07-24T19:15:37+00:00,18392664,USDG/VIRTUAL@3000 -> ETH/FIRE@3000 -> FIRE/USDG@500000,3,True,False,True,MULTI_ASSET_UNRESOLVED,,0.000000000000000000,0.000000000000000000,0.000000000000000000,,0xeeef618a70e663813331892ee129709845570a1f,0.000117608489344000,,,low,ETH:-0.0077564113|USDG:+0.7784580000|VIRTUAL:+24.6208383587,False,True,False,0xa633c73658857d5241fe21d43f854a82e2d0592c,0xeeef618a70e663813331892ee129709845570a1f,no
0x8692c086e75f93ae5585a5e16c696342b1dec0282d116f758dd0aeab18ad94bb,2026-07-24T19:15:37+00:00,18392665,ETH/FIRE@3000 -> FIRE/USDG@400000 -> ETH/USDG@100,3,False,True,True,CLOSED_CYCLE,ETH,0.002282130734579784,0.002564667100371850,0.000282536365792066,12.380376,0xfce111095e51bc515e2da7131524868ab27a6f08,0.000073971943384000,0.000208564422408066,0x090a8796ab1f6136a4319993f2cbedf04be20603,medium,ETH:+0.0002825364,True,True,False,0x7702e2e6b53114a037c45a89f855b52721a1c755,0xfce111095e51bc515e2da7131524868ab27a6f08,no
0x5343f529dde83de5a69f167746ef76f95f9350fe3a2c7e1f663e5caf9e71f257,2026-07-25T03:52:31+00:00,18701871,FIRE/USDG@500000,1,True,False,False,ONE_WAY_ROUTE,FIRE->USDG,9850.281982333738489040,5.179130000000000000,0.000000000000000000,0.000000,0x4337007ab182ebe9cdb0bc4b96734c32176d44cc,0.000051841719262000,,,low,FIRE:-9850.2819823337|USDG:+5.1791300000,False,True,False,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x4337007ab182ebe9cdb0bc4b96734c32176d44cc,no
0x655f24cffb634f7149ebe98a3b51834b234b933b9f9be86ad35d018b43c82c26,2026-07-25T23:40:30+00:00,19411729,FIRE/USDG@500000,1,True,False,False,ONE_WAY_ROUTE,FIRE->USDG,2543.000000000000000000,1.305911000000000000,0.000000000000000000,0.000000,0xe71411ebb40224f0043d21ee440829156f4fab0a,0.000022799730176000,,,low,FIRE:-2543.0000000000|USDG:+1.3059110000,False,True,False,0x8876789976decbfcbbbe364623c63652db8c0904,0xe71411ebb40224f0043d21ee440829156f4fab0a,no
0x08e50bfda808b7991599da01be574023be05212e60225203e5d1b8228b96c660,2026-07-26T07:21:38+00:00,19687264,FIRE/USDG@400000,1,False,True,False,ONE_WAY_ROUTE,FIRE->USDG,6277.083525423276633932,3.323093000000000000,0.000000000000000000,0.000000,0x4337004ec9c1417f1c7a26ebd4b4fbed6acf9e5d,0.000031076235252000,,,low,FIRE:-6277.0835254233|USDG:+3.3230930000,False,True,False,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x4337004ec9c1417f1c7a26ebd4b4fbed6acf9e5d,no
0x08cd4620309c75d71b3b082eeb42b0827a7c1d7976872fdedbc2f7b9e748f213,2026-07-26T07:22:12+00:00,19687599,FIRE/USDG@500000 -> FIRE/USDG@450000,2,True,False,False,ONE_WAY_ROUTE,FIRE->USDG,24369.000000000000000000,12.039928000000000000,0.000000000000000000,0.000000,0xfad4c8f1e71e4c56b87733bd916ff7cff46c6c29,0.000042860555290000,,,low,FIRE:-24369.0000000000|USDG:+12.0399280000,False,True,False,0x8876789976decbfcbbbe364623c63652db8c0904,0xfad4c8f1e71e4c56b87733bd916ff7cff46c6c29,no
0x036c9da13f534059d5feb064f85e0c069caa48f3b157271b31ccd373406c8a29,2026-07-26T16:40:02+00:00,20021264,FIRE/USDG@400000,1,False,True,False,ONE_WAY_ROUTE,FIRE->USDG,4631.819918130973597053,2.334657000000000000,0.000000000000000000,0.000000,0x4337019d937ebcbd73dd750072d86c1ce664b350,0.000026343144828000,,,low,FIRE:-4631.8199181310|USDG:+2.3346570000,False,True,False,0x1d4b86491ec211257cbedd77a4380a7494624eff,0x4337019d937ebcbd73dd750072d86c1ce664b350,no
0x32a82de7044d8291c285b99e8916182854087d625eae549d6611a5880500f06a,2026-07-26T18:01:54+00:00,20070357,WETH/USDG@200 -> ETH/FIRE@3000 -> FIRE/USDG@500000,3,True,False,True,MULTI_ASSET_UNRESOLVED,,0.000000000000000000,0.000000000000000000,0.000000000000000000,,0xeeef618a70e663813331892ee129709845570a1f,0.000039081240594000,,,low,ETH:-0.0054295592|USDG:+0.3760110000|WETH:+0.0054844032,False,True,False,0xa633c73658857d5241fe21d43f854a82e2d0592c,0xeeef618a70e663813331892ee129709845570a1f,no
